時間軸コード,時点,人口区分,都道府県コード,地域,性別,区分,単位,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85歳以上
2024001010,2024年10月1日現在,総人口,00000,全国,男女計,人口,千人,123802,3934,4710,5185,5457,6260,6519,6395,6871,7631,8745,9788,8490,7571,7268,8198,7886,6138,6754
2024001010,2024年10月1日現在,総人口,01000,北海道,男女計,人口,千人,5043,134,170,193,206,226,226,233,261,298,353,386,344,335,333,399,357,267,322
2024001010,2024年10月1日現在,総人口,02000,青森県,男女計,人口,千人,1165,30,39,45,47,43,43,47,57,67,79,86,82,84,89,100,85,64,78
2024001010,2024年10月1日現在,総人口,03000,岩手県,男女計,人口,千人,1145,30,39,46,48,44,44,49,56,67,78,81,77,80,85,95,79,63,83
2024001010,2024年10月1日現在,総人口,04000,宮城県,男女計,人口,千人,2248,66,84,94,100,120,117,113,128,145,162,168,145,141,146,162,134,101,122
2024001010,2024年10月1日現在,総人口,05000,秋田県,男女計,人口,千人,897,20,27,32,35,29,29,33,41,51,60,62,58,66,73,83,70,53,75
2024001010,2024年10月1日現在,総人口,06000,山形県,男女計,人口,千人,1011,28,36,41,44,40,38,42,51,60,68,69,64,69,76,86,70,53,75
2024001010,2024年10月1日現在,総人口,07000,福島県,男女計,人口,千人,1743,49,64,71,76,70,69,80,93,104,118,125,115,122,132,144,114,88,110
2024001010,2024年10月1日現在,総人口,08000,茨城県,男女計,人口,千人,2806,84,103,117,125,135,133,136,153,173,198,221,189,173,181,209,188,144,145
2024001010,2024年10月1日現在,総人口,09000,栃木県,男女計,人口,千人,1885,55,70,78,85,89,87,92,106,119,136,148,127,118,125,142,124,90,95
2024001010,2024年10月1日現在,総人口,10000,群馬県,男女計,人口,千人,1890,56,69,78,87,92,88,91,99,112,133,151,129,116,119,137,130,99,104
2024001010,2024年10月1日現在,総人口,11000,埼玉県,男女計,人口,千人,7332,234,278,302,322,388,408,402,419,461,533,617,521,429,396,458,460,370,333
2024001010,2024年10月1日現在,総人口,12000,千葉県,男女計,人口,千人,6251,199,235,255,272,325,344,336,356,393,450,520,440,367,342,397,402,318,300
2024001010,2024年10月1日現在,総人口,13000,東京都,男女計,人口,千人,14178,447,518,529,551,862,1076,972,941,994,1071,1169,1018,813,657,681,692,561,624
2024001010,2024年10月1日現在,総人口,14000,神奈川県,男女計,人口,千人,9225,290,343,374,399,503,555,514,528,588,678,792,700,561,472,520,531,434,443
2024001010,2024年10月1日現在,総人口,15000,新潟県,男女計,人口,千人,2099,59,75,86,91,86,83,92,108,124,146,154,141,136,146,168,148,112,142
2024001010,2024年10月1日現在,総人口,16000,富山県,男女計,人口,千人,997,30,36,40,43,45,44,44,49,56,70,81,66,62,62,73,76,57,64
2024001010,2024年10月1日現在,総人口,17000,石川県,男女計,人口,千人,1098,35,42,47,51,57,53,52,56,63,78,88,72,66,66,75,78,57,61
2024001010,2024年10月1日現在,総人口,18000,福井県,男女計,人口,千人,739,25,29,33,35,33,32,34,39,43,50,55,48,47,48,54,50,38,45
2024001010,2024年10月1日現在,総人口,19000,山梨県,男女計,人口,千人,791,24,29,32,36,40,36,36,40,44,52,60,56,53,52,58,53,42,48
2024001010,2024年10月1日現在,総人口,20000,長野県,男女計,人口,千人,1987,62,75,85,90,81,81,88,100,114,139,154,136,127,127,142,138,111,135
2024001010,2024年10月1日現在,総人口,21000,岐阜県,男女計,人口,千人,1916,59,73,85,91,94,86,86,97,110,132,150,130,121,118,136,134,103,110
2024001010,2024年10月1日現在,総人口,22000,静岡県,男女計,人口,千人,3527,106,133,153,161,158,156,166,189,212,246,279,245,223,222,250,239,189,201
2024001010,2024年10月1日現在,総人口,23000,愛知県,男女計,人口,千人,7460,262,309,336,349,407,430,419,439,475,538,615,518,435,383,424,439,346,336
2024001010,2024年10月1日現在,総人口,24000,三重県,男女計,人口,千人,1711,54,65,74,79,81,79,81,90,100,118,136,118,109,105,118,116,91,98
2024001010,2024年10月1日現在,総人口,25000,滋賀県,男女計,人口,千人,1402,51,60,67,70,75,73,71,79,88,101,110,91,83,79,88,85,63,67
2024001010,2024年10月1日現在,総人口,26000,京都府,男女計,人口,千人,2520,75,91,101,114,151,145,124,129,145,174,201,171,149,137,161,174,136,143
2024001010,2024年10月1日現在,総人口,27000,大阪府,男女計,人口,千人,8757,290,325,353,380,491,526,483,486,523,610,733,626,513,443,517,555,457,446
2024001010,2024年10月1日現在,総人口,28000,兵庫県,男女計,人口,千人,5337,175,208,232,244,261,248,250,278,315,372,434,376,333,315,355,361,281,299
2024001010,2024年10月1日現在,総人口,29000,奈良県,男女計,人口,千人,1285,39,48,54,60,61,53,54,63,72,85,101,90,81,80,94,96,77,77
2024001010,2024年10月1日現在,総人口,30000,和歌山県,男女計,人口,千人,880,27,32,37,39,35,33,37,43,49,57,68,61,59,60,67,66,52,59
2024001010,2024年10月1日現在,総人口,31000,鳥取県,男女計,人口,千人,531,18,22,23,24,22,21,23,27,32,36,37,32,34,37,41,37,27,37
2024001010,2024年10月1日現在,総人口,32000,島根県,男女計,人口,千人,642,21,26,28,29,26,25,28,32,36,42,44,38,40,44,51,47,34,50
2024001010,2024年10月1日現在,総人口,33000,岡山県,男女計,人口,千人,1831,62,72,80,84,94,92,88,97,106,125,139,114,107,111,124,128,97,112
2024001010,2024年10月1日現在,総人口,34000,広島県,男女計,人口,千人,2714,90,109,123,126,131,129,132,146,162,190,216,178,160,159,183,187,140,155
2024001010,2024年10月1日現在,総人口,35000,山口県,男女計,人口,千人,1281,38,47,53,57,55,51,53,61,71,85,96,81,78,85,102,101,77,90
2024001010,2024年10月1日現在,総人口,36000,徳島県,男女計,人口,千人,685,20,24,27,28,28,28,28,34,40,46,50,44,44,50,57,53,38,48
